Movie Title,Release Year,Box Office Revenue (in million USD),Genre,IMDB Rating,Director,Main Actors,Production Budget (in million USD)
Movie 85,2000,402,Animation,7.2,Director 14,"Actor 13, Actor 1",417
Movie 86,2011,466,Drama,7.6,Director 17,"Actor 20, Actor 11",361
Movie 87,2000,1323,Romance,8.3,Director 15,"Actor 19, Actor 13",474
Movie 88,2011,1893,Romance,9.3,Director 15,"Actor 11, Actor 14",42
Movie 89,2019,1318,Horror,6.4,Director 5,"Actor 13, Actor 11",93
Movie 90,2021,1969,Thriller,6.0,Director 7,"Actor 18, Actor 20",489
Movie 91,2013,1515,Animation,8.9,Director 6,"Actor 17, Actor 19",59
Movie 92,2010,575,Action,5.2,Director 8,"Actor 2, Actor 20",386
Movie 93,1991,590,Romance,6.7,Director 17,"Actor 8, Actor 6",319
Movie 94,1998,1584,Thriller,5.4,Director 10,"Actor 1, Actor 11",396
Movie 95,1991,1068,Comedy,7.4,Director 4,"Actor 7, Actor 1",477
Movie 96,2004,740,Romance,8.9,Director 11,"Actor 1, Actor 13",32
Movie 97,2008,597,Drama,5.7,Director 4,"Actor 9, Actor 8",396
Movie 98,2000,233,Comedy,9.0,Director 5,"Actor 8, Actor 6",60
Movie 99,2014,572,Thriller,6.7,Director 4,"Actor 18, Actor 12",287
Movie 100,1997,215,Sci-Fi,9.2,Director 16,"Actor 15, Actor 18",37
Movie 101,2010,1319,Drama,5.7,Director 7,"Actor 11, Actor 16",423
Movie 102,1993,1411,Sci-Fi,7.1,Director 5,"Actor 10, Actor 9",147
Movie 103,1992,1446,Animation,6.6,Director 11,"Actor 13, Actor 7",493
Movie 104,1998,1994,Animation,9.0,Director 19,"Actor 7, Actor 8",142
Movie 105,2019,1257,Comedy,7.7,Director 7,"Actor 1, Actor 4",128
Movie 106,2023,811,Thriller,8.0,Director 12,"Actor 1, Actor 12",335
Movie 107,1995,1221,Horror,8.6,Director 4,"Actor 7, Actor 17",339
Movie 108,1996,905,Drama,8.0,Director 1,"Actor 20, Actor 11",235
Movie 109,2006,691,Romance,5.7,Director 8,"Actor 6, Actor 19",367
Movie 110,1990,279,Action,6.9,Director 17,"Actor 5, Actor 9",451
Movie 111,2015,1071,Romance,5.5,Director 7,"Actor 4, Actor 3",46
Movie 112,2007,665,Comedy,7.8,Director 15,"Actor 14, Actor 10",387
Movie 113,2004,70,Action,9.1,Director 15,"Actor 17, Actor 5",471
Movie 114,2012,886,Thriller,6.4,Director 7,"Actor 10, Actor 12",50
Movie 115,2006,1315,Comedy,5.9,Director 13,"Actor 8, Actor 6",111
Movie 116,2014,238,Romance,5.3,Director 4,"Actor 14, Actor 18",404
Movie 117,2000,1008,Action,6.7,Director 8,"Actor 6, Actor 8",274
Movie 118,2003,1040,Comedy,6.8,Director 4,"Actor 5, Actor 19",145
Movie 119,2023,88,Romance,9.3,Director 8,"Actor 14, Actor 10",499
Movie 120,2001,215,Romance,8.4,Director 5,"Actor 8, Actor 4",404
Movie 121,2017,1422,Drama,6.0,Director 20,"Actor 18, Actor 14",301
Movie 122,2012,1673,Sci-Fi,8.2,Director 4,"Actor 13, Actor 3",348
Movie 123,2014,1823,Thriller,5.3,Director 16,"Actor 17, Actor 9",159
Movie 124,2014,895,Animation,6.4,Director 17,"Actor 13, Actor 3",293
Movie 125,2020,1291,Comedy,7.1,Director 5,"Actor 17, Actor 2",349
Movie 126,2009,424,Sci-Fi,6.4,Director 11,"Actor 8, Actor 18",133
Movie 127,2004,111,Thriller,8.3,Director 4,"Actor 9, Actor 5",290
Movie 128,1995,338,Drama,8.5,Director 14,"Actor 17, Actor 6",371
Movie 129,1992,569,Animation,8.7,Director 6,"Actor 19, Actor 16",54
Movie 130,2000,493,Sci-Fi,7.1,Director 5,"Actor 8, Actor 9",344
Movie 131,2001,807,Sci-Fi,8.2,Director 4,"Actor 17, Actor 2",228
Movie 132,2015,426,Action,6.7,Director 4,"Actor 13, Actor 20",440
Movie 133,2013,169,Sci-Fi,7.2,Director 19,"Actor 3, Actor 19",278
Movie 134,2013,1308,Drama,5.5,Director 18,"Actor 12, Actor 11",92
Movie 135,2016,93,Romance,8.2,Director 12,"Actor 15, Actor 11",303
Movie 136,2019,1149,Thriller,5.7,Director 14,"Actor 3, Actor 5",323
Movie 137,2006,998,Romance,8.9,Director 6,"Actor 10, Actor 19",413
Movie 138,2005,1810,Romance,6.4,Director 16,"Actor 9, Actor 10",76
Movie 139,2019,366,Drama,6.5,Director 7,"Actor 9, Actor 3",186
Movie 140,1990,1030,Romance,7.9,Director 19,"Actor 9, Actor 2",45
Movie 141,1993,1399,Romance,6.2,Director 1,"Actor 7, Actor 10",65
Movie 142,1998,274,Drama,7.5,Director 9,"Actor 1, Actor 2",262
Movie 143,1996,1194,Romance,6.6,Director 1,"Actor 11, Actor 13",297
Movie 144,2020,383,Romance,7.9,Director 14,"Actor 20, Actor 6",447
Movie 145,2003,1712,Drama,5.9,Director 19,"Actor 1, Actor 7",349
Movie 146,2005,822,Animation,6.6,Director 18,"Actor 19, Actor 5",388
Movie 147,1990,1429,Drama,5.3,Director 12,"Actor 17, Actor 15",254
Movie 148,2014,1625,Comedy,9.0,Director 3,"Actor 2, Actor 15",170
Movie 149,2005,1675,Action,8.8,Director 14,"Actor 17, Actor 10",96
Movie 150,2009,1479,Thriller,5.2,Director 4,"Actor 20, Actor 20",420
Movie 151,1996,1978,Animation,7.4,Director 18,"Actor 15, Actor 4",320
Movie 152,1992,1384,Comedy,5.2,Director 15,"Actor 1, Actor 8",110
Movie 153,1996,1064,Horror,6.5,Director 16,"Actor 20, Actor 13",94
Movie 154,2022,1327,Comedy,8.8,Director 6,"Actor 5, Actor 5",174
Movie 155,1999,1947,Comedy,6.8,Director 14,"Actor 6, Actor 10",315
Movie 156,2010,292,Horror,5.9,Director 13,"Actor 8, Actor 16",439
Movie 157,1991,1883,Horror,6.1,Director 3,"Actor 9, Actor 8",34
Movie 158,1996,1411,Comedy,7.0,Director 13,"Actor 19, Actor 3",285
Movie 159,2001,1769,Drama,8.7,Director 6,"Actor 13, Actor 16",449
Movie 160,1994,350,Romance,9.2,Director 4,"Actor 15, Actor 11",88
Movie 161,1990,1124,Sci-Fi,7.3,Director 18,"Actor 6, Actor 20",88
Movie 162,2009,969,Thriller,9.0,Director 20,"Actor 15, Actor 9",437
Movie 163,2017,1999,Animation,7.3,Director 2,"Actor 8, Actor 19",246
Movie 164,2006,1816,Comedy,8.9,Director 4,"Actor 18, Actor 20",332
Movie 165,2013,868,Animation,8.2,Director 16,"Actor 4, Actor 17",123
Movie 166,2018,1907,Romance,8.7,Director 7,"Actor 17, Actor 11",145
Movie 167,1995,1040,Drama,6.2,Director 8,"Actor 8, Actor 11",131
Movie 168,1995,718,Comedy,6.9,Director 10,"Actor 17, Actor 19",210
Movie 169,2003,1367,Comedy,5.7,Director 15,"Actor 18, Actor 20",90
Movie 170,2022,1591,Comedy,5.1,Director 9,"Actor 4, Actor 10",168
Movie 171,1997,1067,Comedy,5.2,Director 4,"Actor 13, Actor 15",78
Movie 172,2011,845,Animation,7.9,Director 10,"Actor 3, Actor 20",125
Movie 173,2015,344,Romance,5.9,Director 14,"Actor 17, Actor 12",154
Movie 174,2000,1499,Comedy,6.6,Director 17,"Actor 5, Actor 19",485
Movie 175,2002,199,Sci-Fi,6.6,Director 15,"Actor 1, Actor 3",180
Movie 176,2001,1055,Sci-Fi,7.3,Director 10,"Actor 20, Actor 9",499
Movie 177,2006,467,Sci-Fi,6.0,Director 10,"Actor 7, Actor 9",422
Movie 178,2010,1340,Horror,5.2,Director 4,"Actor 19, Actor 19",367
Movie 179,2007,1678,Sci-Fi,8.6,Director 11,"Actor 16, Actor 4",31
Movie 180,1992,1120,Animation,6.0,Director 16,"Actor 9, Actor 15",282
Movie 181,2015,567,Thriller,8.9,Director 13,"Actor 1, Actor 6",251
Movie 182,2011,1365,Drama,6.9,Director 13,"Actor 14, Actor 16",45
Movie 183,2022,92,Comedy,6.9,Director 19,"Actor 5, Actor 6",340
Movie 184,2018,428,Comedy,9.1,Director 19,"Actor 11, Actor 20",357
Movie 185,2013,69,Animation,6.6,Director 16,"Actor 6, Actor 7",163
Movie 186,2003,1021,Sci-Fi,8.1,Director 5,"Actor 12, Actor 3",21
Movie 187,2006,1482,Action,7.9,Director 12,"Actor 3, Actor 13",364
Movie 188,2001,919,Sci-Fi,5.5,Director 7,"Actor 20, Actor 19",102
Movie 189,1999,849,Drama,6.4,Director 17,"Actor 8, Actor 19",112
Movie 190,2008,922,Drama,9.4,Director 1,"Actor 18, Actor 13",97
Movie 191,2018,1727,Sci-Fi,8.2,Director 9,"Actor 3, Actor 17",271
Movie 192,2021,1151,Comedy,7.1,Director 9,"Actor 7, Actor 8",290
Movie 193,2004,526,Animation,5.6,Director 7,"Actor 20, Actor 16",37
Movie 194,2023,1517,Animation,7.9,Director 17,"Actor 1, Actor 11",284
Movie 195,2009,241,Action,5.1,Director 17,"Actor 7, Actor 17",64
Movie 196,2018,1272,Comedy,5.4,Director 1,"Actor 12, Actor 18",20
Movie 197,2022,1907,Horror,5.3,Director 19,"Actor 1, Actor 19",409
Movie 198,2008,1559,Comedy,5.1,Director 6,"Actor 20, Actor 9",409
Movie 199,1993,1082,Drama,8.3,Director 5,"Actor 8, Actor 2",472
Movie 200,2022,521,Drama,9.5,Director 2,"Actor 13, Actor 14",164
Movie 201,2012,1085,Animation,8.1,Director 14,"Actor 6, Actor 6",188
Movie 202,2007,284,Action,7.8,Director 8,"Actor 8, Actor 14",151
Movie 203,2020,1807,Animation,9.0,Director 7,"Actor 13, Actor 11",46
Movie 204,2015,1569,Animation,5.7,Director 17,"Actor 2, Actor 12",97
Movie 205,2012,342,Horror,6.8,Director 4,"Actor 11, Actor 3",334
Movie 206,1990,827,Animation,5.8,Director 12,"Actor 13, Actor 11",160
Movie 207,2020,311,Action,7.5,Director 19,"Actor 5, Actor 9",424
Movie 208,2018,1320,Sci-Fi,5.4,Director 10,"Actor 7, Actor 2",70
Movie 209,2000,681,Sci-Fi,8.9,Director 20,"Actor 19, Actor 10",171
Movie 210,2002,1301,Animation,9.5,Director 20,"Actor 10, Actor 20",263
Movie 211,1990,1537,Action,6.3,Director 12,"Actor 10, Actor 8",307
Movie 212,2022,81,Comedy,7.3,Director 6,"Actor 3, Actor 4",333
Movie 213,2003,260,Sci-Fi,8.9,Director 8,"Actor 14, Actor 3",76
Movie 214,2010,1951,Sci-Fi,7.0,Director 19,"Actor 13, Actor 12",337
Movie 215,2016,629,Comedy,9.2,Director 2,"Actor 15, Actor 11",436
Movie 216,1990,102,Drama,7.5,Director 8,"Actor 8, Actor 2",123
Movie 217,1990,1075,Action,5.9,Director 9,"Actor 19, Actor 18",320
Movie 218,2015,592,Romance,6.9,Director 15,"Actor 3, Actor 15",171
Movie 219,2009,1987,Sci-Fi,9.3,Director 19,"Actor 18, Actor 11",478
Movie 220,2006,1604,Action,8.1,Director 11,"Actor 20, Actor 5",475
Movie 221,2008,306,Animation,8.7,Director 6,"Actor 7, Actor 7",131
Movie 222,1996,497,Romance,9.4,Director 10,"Actor 20, Actor 17",166
Movie 223,2012,1255,Animation,6.3,Director 16,"Actor 1, Actor 5",430
Movie 224,2004,268,Romance,9.3,Director 11,"Actor 1, Actor 2",75
Movie 225,2003,1212,Comedy,6.2,Director 15,"Actor 5, Actor 16",177
Movie 226,2003,82,Sci-Fi,7.5,Director 8,"Actor 15, Actor 10",311
Movie 227,1994,1094,Romance,8.8,Director 3,"Actor 18, Actor 11",305
Movie 228,2012,1554,Romance,7.0,Director 6,"Actor 12, Actor 11",439
Movie 229,2020,954,Comedy,7.0,Director 3,"Actor 2, Actor 12",339
Movie 230,2008,1356,Animation,7.0,Director 14,"Actor 8, Actor 17",398
Movie 231,1993,1346,Horror,6.9,Director 13,"Actor 12, Actor 20",224
Movie 232,2000,1446,Horror,9.1,Director 11,"Actor 20, Actor 13",93
Movie 233,1991,1676,Drama,8.3,Director 3,"Actor 2, Actor 19",230
Movie 234,2008,970,Action,9.4,Director 20,"Actor 19, Actor 17",160
Movie 235,2001,541,Thriller,8.9,Director 12,"Actor 11, Actor 1",233
Movie 236,2022,1692,Action,6.8,Director 1,"Actor 4, Actor 18",179
Movie 237,2012,175,Comedy,5.1,Director 3,"Actor 18, Actor 9",303
Movie 238,2014,482,Thriller,7.7,Director 2,"Actor 4, Actor 14",432
Movie 239,2012,1757,Horror,7.8,Director 19,"Actor 13, Actor 13",230
Movie 240,2002,1780,Horror,7.9,Director 13,"Actor 20, Actor 8",295
Movie 241,2002,1680,Thriller,6.6,Director 7,"Actor 11, Actor 19",278
Movie 242,2001,881,Animation,5.6,Director 7,"Actor 4, Actor 12",357
Movie 243,2009,1817,Sci-Fi,8.5,Director 20,"Actor 18, Actor 6",339
Movie 244,1992,1895,Horror,8.6,Director 12,"Actor 16, Actor 18",245
Movie 245,2020,637,Comedy,9.4,Director 15,"Actor 18, Actor 9",305
Movie 246,1993,567,Drama,8.7,Director 9,"Actor 17, Actor 19",441
Movie 247,2015,334,Animation,5.9,Director 16,"Actor 3, Actor 2",473
Movie 248,1992,1023,Thriller,6.8,Director 14,"Actor 3, Actor 8",145
Movie 249,2002,1051,Sci-Fi,8.7,Director 6,"Actor 19, Actor 16",369
Movie 250,1999,1730,Comedy,9.3,Director 9,"Actor 14, Actor 17",286
Movie 251,1996,1732,Action,5.8,Director 3,"Actor 13, Actor 13",266
Movie 252,2005,1848,Animation,6.3,Director 1,"Actor 6, Actor 3",175
Movie 253,2018,315,Animation,8.4,Director 19,"Actor 4, Actor 11",337
Movie 254,2011,1985,Romance,7.8,Director 11,"Actor 19, Actor 17",467
Movie 255,2003,958,Thriller,6.9,Director 6,"Actor 13, Actor 17",29
Movie 256,2020,1651,Horror,6.1,Director 4,"Actor 5, Actor 7",237
Movie 257,1990,63,Animation,8.3,Director 20,"Actor 6, Actor 11",122
Movie 258,1990,1056,Action,8.2,Director 4,"Actor 20, Actor 10",35
Movie 259,2019,1492,Thriller,7.2,Director 7,"Actor 7, Actor 11",124
Movie 260,1991,1735,Animation,7.5,Director 6,"Actor 19, Actor 8",415
Movie 261,2014,746,Comedy,7.6,Director 17,"Actor 1, Actor 8",295
Movie 262,2021,1627,Horror,8.3,Director 10,"Actor 13, Actor 8",78
Movie 263,1995,1466,Drama,6.3,Director 11,"Actor 8, Actor 5",323
Movie 264,2011,925,Sci-Fi,5.6,Director 13,"Actor 14, Actor 7",286
Movie 265,2022,1887,Drama,7.3,Director 3,"Actor 16, Actor 4",322
Movie 266,1998,1204,Action,8.6,Director 5,"Actor 17, Actor 20",375
Movie 267,1990,151,Horror,7.5,Director 9,"Actor 6, Actor 2",437
Movie 268,2016,903,Comedy,7.6,Director 3,"Actor 12, Actor 12",320
Movie 269,2007,1795,Animation,5.8,Director 16,"Actor 4, Actor 16",342
Movie 270,1992,310,Horror,5.1,Director 1,"Actor 16, Actor 9",197
Movie 271,2014,245,Comedy,5.7,Director 5,"Actor 19, Actor 9",347
Movie 272,1992,1801,Comedy,7.7,Director 1,"Actor 2, Actor 3",328
Movie 273,1999,1728,Romance,6.9,Director 5,"Actor 20, Actor 14",344
Movie 274,2004,285,Drama,6.3,Director 13,"Actor 7, Actor 8",178
Movie 275,1997,766,Animation,7.3,Director 16,"Actor 2, Actor 7",271
Movie 276,2002,1174,Drama,5.4,Director 4,"Actor 7, Actor 18",304
Movie 277,2017,736,Animation,5.3,Director 9,"Actor 11, Actor 8",57
Movie 278,2000,1405,Action,6.4,Director 2,"Actor 14, Actor 8",288
Movie 279,2009,111,Horror,7.7,Director 20,"Actor 19, Actor 8",259
Movie 280,1994,1126,Romance,6.7,Director 10,"Actor 2, Actor 2",148
Movie 281,2023,699,Horror,6.3,Director 3,"Actor 14, Actor 9",391
Movie 282,2012,159,Action,8.1,Director 16,"Actor 20, Actor 11",379
Movie 283,2005,1349,Drama,8.0,Director 5,"Actor 10, Actor 11",125
Movie 284,2006,817,Comedy,5.9,Director 17,"Actor 5, Actor 6",432
Movie 285,2013,305,Comedy,6.3,Director 12,"Actor 11, Actor 13",31
Movie 286,2008,964,Comedy,6.9,Director 10,"Actor 18, Actor 7",387
Movie 287,1996,1906,Drama,5.3,Director 15,"Actor 19, Actor 11",315
Movie 288,1995,872,Romance,7.0,Director 8,"Actor 16, Actor 8",369
Movie 289,2002,720,Thriller,9.2,Director 9,"Actor 2, Actor 16",126
Movie 290,2012,671,Thriller,9.1,Director 1,"Actor 5, Actor 7",359
Movie 291,2002,1546,Thriller,8.0,Director 5,"Actor 13, Actor 5",193
Movie 292,1998,1069,Thriller,8.0,Director 18,"Actor 9, Actor 6",331
Movie 293,1991,1019,Horror,6.7,Director 11,"Actor 16, Actor 8",379
Movie 294,2006,749,Comedy,7.9,Director 16,"Actor 15, Actor 4",54
Movie 295,2007,583,Sci-Fi,6.9,Director 12,"Actor 13, Actor 12",288
Movie 296,1997,1628,Action,8.2,Director 13,"Actor 17, Actor 19",70
Movie 297,2020,101,Sci-Fi,5.3,Director 15,"Actor 16, Actor 7",147
Movie 298,2005,1410,Animation,7.3,Director 12,"Actor 3, Actor 11",293
Movie 299,2011,1200,Animation,5.6,Director 2,"Actor 2, Actor 13",399
Movie 300,1999,1942,Comedy,5.4,Director 3,"Actor 7, Actor 6",393
